title,questionType,difficulty,subjectId,text,gradeLevel,option1,option1Correct,option1Feedback,option2,option2Correct,option2Feedback,option3,option3Correct,option3Feedback,option4,option4Correct,option4Feedback,correctAnswer,tolerance,explanation,hint
"Integrated Science & Inquiry (Y7) Question 61",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 62",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 63",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",3,,,,,,,,,,,,,18,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 64",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 65",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 66",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",6,,,,,,,,,,,,,94,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 67",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 68",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 69",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",9,,,,,,,,,,,,,36,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 70",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",10,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 71",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",11,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 72",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",12,,,,,,,,,,,,,25,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 73",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",1,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 74",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",2,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 75",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",3,,,,,,,,,,,,,1,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 76",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",4,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 77",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",5,,,,,,,,,,,,,true,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 78",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",6,,,,,,,,,,,,,37,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 79",MULTIPLE_CHOICE,EASY,cmesxd5150017txcf7u9efawl,"This is a sample multiple choice question for Integrated Science & Inquiry (Y7).",7,"Option A",true,"Correct!","Option B",false,"Incorrect.","Option C",false,"Not right.","Option D",false,"Wrong answer.",,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 80",TRUE_FALSE,MEDIUM,cmesxd5150017txcf7u9efawl,"This is a sample true false question for Integrated Science & Inquiry (Y7).",8,,,,,,,,,,,,,false,,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
"Integrated Science & Inquiry (Y7) Question 81",NUMERIC,HARD,cmesxd5150017txcf7u9efawl,"This is a sample numeric question for Integrated Science & Inquiry (Y7).",9,,,,,,,,,,,,,55,0.1,"Sample explanation for Integrated Science & Inquiry (Y7).","Sample hint for Integrated Science & Inquiry (Y7)."
